student_id,question_id,score,time_on_task
3201,1,49,124
3201,1,100,96
3201,1,62,70
3201,2,87,22
3201,3,70,228
3201,3,84,228
3201,4,54,82
3201,5,65,175
3201,5,66,199
3201,5,80,194
3201,6,61,159
3201,6,56,69
3201,7,92,28
3201,7,100,27
3201,7,100,45
3201,8,84,27
3201,8,94,156
3201,9,79,148
3201,10,100,117
3201,10,78,84
3201,10,84,305
2033,1,94,181
2033,1,58,68
2033,1,100,74
2033,2,94,130
2033,2,81,168
2033,2,89,28
2033,3,57,16
2033,4,43,123
2033,5,99,127
2033,5,68,26
2033,6,92,16
2033,7,100,38
2033,8,89,105
2033,8,91,177
2033,9,63,32
2033,10,82,38
2033,10,63,300
5179,1,77,116
5179,1,62,189
5179,1,85,212
5179,1,69,170
5179,2,57,227
5179,2,65,88
5179,2,45,230
5179,3,56,235
5179,3,66,244
5179,4,41,292
5179,4,45,318
5179,4,59,301
5179,4,61,277
5179,4,48,263
5179,4,65,131
5179,4,61,196
5179,5,90,76
5179,5,40,239
5179,5,73,116
5179,6,77,215
5179,6,29,165
5179,7,78,92
5179,7,83,91
5179,7,87,124
5179,7,100,82
5179,7,85,76
5179,8,87,92
5179,8,54,150
5179,8,86,206
5179,8,76,232
5179,9,79,70
5179,9,73,205
5179,9,88,182
5179,9,74,185
5179,9,82,94
5179,9,69,263
5179,10,60,207
5179,10,65,208
5179,10,96,268
5179,10,80,161
2931,1,87,186
2931,1,100,188
2931,1,95,132
2931,2,82,57
2931,3,93,165
2931,3,84,225
2931,4,60,126
2931,4,80,166
2931,4,59,260
2931,5,90,69
2931,5,85,147
2931,5,77,21
2931,6,88,182
2931,7,97,103
2931,7,100,23
2931,7,100,90
2931,8,85,70
2931,9,94,74
2931,9,88,127
2931,9,95,45
2931,10,100,236
2931,10,84,194
2931,10,84,272
9117,1,51,299
9117,1,63,322
9117,1,15,215
9117,1,41,177
9117,1,50,268
9117,2,27,227
9117,2,54,93
9117,2,37,309
9117,2,36,46
9117,3,24,386
9117,3,69,308
9117,3,33,151
9117,4,19,549
9117,4,48,116
9117,4,40,452
9117,5,50,315
9117,5,39,67
9117,5,52,383
9117,5,35,132
9117,5,28,383
9117,6,22,208
9117,6,3,431
9117,6,27,226
9117,6,8,306
9117,7,76,224
9117,7,82,43
9117,7,53,147
9117,7,62,105
9117,8,43,279
9117,8,65,135
9117,8,61,173
9117,9,59,34
9117,9,40,111
9117,9,25,213
9117,9,44,41
9117,9,50,291
9117,10,55,188
9117,10,49,199
9117,10,56,148
9117,10,21,134
9117,10,66,164
8364,1,58,301
8364,1,35,346
8364,1,100,229
8364,1,55,214
8364,1,71,314
8364,1,94,290
8364,1,51,236
8364,1,33,185
8364,1,75,158
8364,2,16,334
8364,2,69,89
8364,2,45,240
8364,3,41,267
8364,3,53,400
8364,3,19,335
8364,4,5,166
8364,4,49,307
8364,4,15,335
8364,4,52,234
8364,4,48,308
8364,4,0,251
8364,4,30,318
8364,4,52,114
8364,4,60,284
8364,4,45,287
8364,5,82,250
8364,5,57,190
8364,5,47,308
8364,5,28,260
8364,5,40,122
8364,6,55,215
8364,6,100,271
8364,6,69,410
8364,6,24,295
8364,6,40,323
8364,6,22,328
8364,7,26,127
8364,7,83,202
8364,7,100,119
8364,7,54,178
8364,7,34,111
8364,7,100,163
8364,7,100,202
8364,7,62,94
8364,8,19,205
8364,8,67,265
8364,8,68,136
8364,8,0,226
8364,9,73,205
8364,9,66,216
8364,9,47,210
8364,9,49,347
8364,9,1,264
8364,9,33,309
8364,9,69,358
8364,9,51,313
8364,10,60,547
8364,10,100,231
8364,10,49,538
8364,10,75,250
8364,10,41,135
8364,10,95,433
8737,1,40,208
8737,1,66,170
8737,2,64,231
8737,2,72,209
8737,2,92,138
8737,2,69,188
8737,3,60,102
8737,3,52,246
8737,3,78,173
8737,3,65,169
8737,4,48,155
8737,4,42,111
8737,5,71,151
8737,5,55,137
8737,5,100,198
8737,5,89,70
8737,5,69,168
8737,5,81,255
8737,6,55,90
8737,6,100,205
8737,6,58,128
8737,6,61,135
8737,6,75,182
8737,6,65,120
8737,6,49,141
8737,7,100,42
8737,7,93,122
8737,8,79,182
8737,8,91,147
8737,8,80,163
8737,8,63,70
8737,8,59,115
8737,8,78,196
8737,9,70,120
8737,9,62,188
8737,9,69,113
8737,9,58,178
8737,9,76,101
8737,9,48,224
8737,10,85,188
8737,10,45,157
8737,10,66,368
8737,10,87,295
8737,10,72,334
8737,10,90,103
7219,1,46,323
7219,1,67,101
7219,1,44,264
7219,2,52,363
7219,2,60,251
7219,2,42,252
7219,3,54,99
7219,3,51,446
7219,3,43,235
7219,3,41,106
7219,3,46,374
7219,4,42,275
7219,4,32,206
7219,4,20,254
7219,4,33,104
7219,4,30,151
7219,4,10,403
7219,5,34,77
7219,5,43,196
7219,5,42,235
7219,6,60,451
7219,6,54,54
7219,6,52,387
7219,7,73,209
7219,7,47,64
7219,7,78,24
7219,8,47,230
7219,8,36,303
7219,8,68,365
7219,8,42,197
7219,8,59,280
7219,9,29,81
7219,9,53,318
7219,9,41,72
7219,9,43,197
7219,10,41,310
7219,10,59,485
7219,10,40,600
7219,10,54,185
4439,1,68,275
4439,1,62,170
4439,1,34,242
4439,1,58,328
4439,1,36,352
4439,1,100,93
4439,2,93,83
4439,2,57,216
4439,2,68,329
4439,2,38,318
4439,2,45,162
4439,2,27,136
4439,2,81,127
4439,2,19,311
4439,2,31,262
4439,3,40,384
4439,3,30,98
4439,3,19,140
4439,3,0,305
4439,3,0,112
4439,3,70,214
4439,3,58,135
4439,3,63,241
4439,3,28,360
4439,4,57,127
4439,4,44,137
4439,4,19,438
4439,5,48,368
4439,5,49,323
4439,5,62,218
4439,6,42,102
4439,6,23,296
4439,6,69,330
4439,6,41,312
4439,7,16,76
4439,7,100,117
4439,7,100,98
4439,7,18,88
4439,7,74,87
4439,7,54,146
4439,7,57,85
4439,7,92,139
4439,7,89,170
4439,8,30,177
4439,8,73,248
4439,8,100,235
4439,8,100,225
4439,9,38,360
4439,9,36,252
4439,9,17,250
4439,10,75,501
4439,10,38,307
4439,10,79,408
4439,10,100,430
4439,10,30,443
4439,10,66,433
4439,10,100,446
4439,10,52,233
2537,1,92,173
2537,1,75,20
2537,2,70,189
2537,3,56,116
2537,3,85,94
2537,3,83,231
2537,4,65,48
2537,5,67,104
2537,6,85,211
2537,7,100,105
2537,7,100,55
2537,7,100,87
2537,8,100,27
2537,8,99,165
2537,9,92,74
2537,10,93,33
2537,10,97,94
8993,1,65,115
8993,1,80,137
8993,1,72,105
8993,1,79,161
8993,1,83,120
8993,1,70,122
8993,1,75,203
8993,2,100,151
8993,2,69,85
8993,2,76,213
8993,2,100,159
8993,2,56,165
8993,2,78,218
8993,3,81,219
8993,3,60,184
8993,3,56,260
8993,3,77,246
8993,3,63,132
8993,3,62,103
8993,4,67,185
8993,4,36,169
8993,4,49,191
8993,4,45,118
8993,4,39,102
8993,5,89,229
8993,5,33,196
8993,5,85,129
8993,5,84,126
8993,6,56,128
8993,6,48,229
8993,6,45,180
8993,6,74,72
8993,7,68,50
8993,7,79,131
8993,8,95,205
8993,8,64,166
8993,8,83,144
8993,8,57,112
8993,9,68,249
8993,9,68,252
8993,9,92,260
8993,9,63,229
8993,9,65,251
8993,10,66,322
8993,10,85,132
8993,10,99,243
8993,10,80,258
8993,10,78,376
8993,10,79,317
1464,1,76,190
1464,1,100,207
1464,1,78,348
1464,1,40,225
1464,1,13,126
1464,2,64,152
1464,2,100,144
1464,2,8,119
1464,2,47,113
1464,3,20,224
1464,3,52,325
1464,3,65,110
1464,3,78,125
1464,3,85,267
1464,3,54,178
1464,3,46,128
1464,3,55,177
1464,3,83,294
1464,4,38,361
1464,4,79,444
1464,4,36,420
1464,4,39,198
1464,4,48,437
1464,4,57,311
1464,4,26,280
1464,4,37,341
1464,4,40,461
1464,5,20,301
1464,5,58,174
1464,5,79,356
1464,5,37,268
1464,5,52,348
1464,5,63,356
1464,6,0,237
1464,6,42,210
1464,6,43,384
1464,6,70,154
1464,6,84,247
1464,6,77,117
1464,7,100,203
1464,7,100,87
1464,7,87,78
1464,7,100,164
1464,7,100,167
1464,7,18,127
1464,7,0,123
1464,7,100,110
1464,7,27,185
1464,8,53,240
1464,8,45,198
1464,8,47,178
1464,8,84,353
1464,8,85,83
1464,8,100,346
1464,8,100,273
1464,8,46,258
1464,8,81,230
1464,9,45,179
1464,9,47,355
1464,9,86,312
1464,9,53,380
1464,9,79,251
1464,9,61,260
1464,9,63,254
1464,9,55,246
1464,9,73,251
1464,10,16,521
1464,10,9,347
1464,10,77,383
1464,10,46,374
1464,10,54,319
1464,10,78,182
1464,10,55,315
1464,10,0,186
1464,10,93,455
7386,1,61,180
7386,1,72,67
7386,1,79,137
7386,1,78,111
7386,1,77,180
7386,1,55,197
7386,1,100,63
7386,2,97,233
7386,2,73,218
7386,3,44,127
7386,3,68,128
7386,3,66,236
7386,3,90,205
7386,3,70,251
7386,4,55,185
7386,4,60,292
7386,4,61,210
7386,4,63,122
7386,4,58,123
7386,5,66,229
7386,5,76,140
7386,5,93,92
7386,6,57,271
7386,6,57,158
7386,6,83,269
7386,6,71,131
7386,7,88,107
7386,7,100,80
7386,7,73,116
7386,7,86,86
7386,7,100,110
7386,8,67,235
7386,8,65,135
7386,8,65,139
7386,8,83,73
7386,8,92,99
7386,9,73,112
7386,9,79,71
7386,9,65,117
7386,10,74,314
7386,10,96,122
7386,10,62,279
7386,10,89,148
7386,10,53,95
8090,1,73,47
8090,1,53,273
8090,1,38,376
8090,1,59,304
8090,2,24,190
8090,2,73,287
8090,2,49,76
8090,2,26,132
8090,2,68,137
8090,3,31,385
8090,3,33,341
8090,3,53,56
8090,3,40,128
8090,4,24,88
8090,4,46,248
8090,4,29,396
8090,4,31,198
8090,4,17,311
8090,4,23,521
8090,5,30,282
8090,5,68,230
8090,5,23,94
8090,6,38,429
8090,6,39,122
8090,6,43,261
8090,6,41,216
8090,6,18,421
8090,7,88,79
8090,7,96,123
8090,7,47,210
8090,7,84,135
8090,7,79,63
8090,8,51,157
8090,8,62,214
8090,8,59,33
8090,8,48,403
8090,8,52,278
8090,9,36,143
8090,9,45,255
8090,9,43,214
8090,9,53,345
8090,9,21,379
8090,10,64,344
8090,10,36,205
8090,10,44,191
1034,1,100,169
1034,1,83,235
1034,1,61,157
1034,1,100,171
1034,1,59,87
1034,1,85,135
1034,1,78,111
1034,2,75,118
1034,2,70,153
1034,2,84,154
1034,2,81,173
1034,2,90,106
1034,2,91,94
1034,2,63,202
1034,3,84,256
1034,3,50,217
1034,3,54,183
1034,3,69,82
1034,3,44,139
1034,3,73,216
1034,3,57,207
1034,4,64,166
1034,4,60,212
1034,4,48,170
1034,5,73,244
1034,5,70,206
1034,5,86,111
1034,6,94,184
1034,6,58,219
1034,6,65,189
1034,6,71,215
1034,6,67,118
1034,6,52,112
1034,6,60,190
1034,7,98,79
1034,7,100,35
1034,7,98,37
1034,7,87,67
1034,8,74,101
1034,8,72,197
1034,8,100,112
1034,8,74,176
1034,8,77,219
1034,8,81,110
1034,9,83,170
1034,9,66,71
1034,9,88,132
1034,9,73,94
1034,9,39,116
1034,9,59,220
1034,9,86,202
1034,10,77,193
1034,10,94,120
8297,1,63,79
8297,2,100,37
8297,3,81,94
8297,3,72,172
8297,4,65,79
8297,4,72,198
8297,4,68,88
8297,5,77,198
8297,5,83,213
8297,5,79,34
8297,6,49,173
8297,6,72,39
8297,6,84,219
8297,7,100,50
8297,7,100,81
8297,8,86,150
8297,8,100,102
8297,8,100,91
8297,9,84,74
8297,9,85,57
8297,10,91,180
8297,10,76,31
5363,1,86,114
5363,1,92,58
5363,2,93,195
5363,2,100,61
5363,3,78,101
5363,4,55,216
5363,5,60,149
5363,6,72,92
5363,6,72,135
5363,6,72,191
5363,7,100,81
5363,7,100,9
5363,7,100,39
5363,8,79,35
5363,8,90,24
5363,8,94,122
5363,9,75,196
5363,9,91,56
5363,9,71,188
5363,10,95,125
5363,10,100,103
4748,1,55,86
4748,1,95,114
4748,1,90,185
4748,1,69,176
4748,1,73,233
4748,1,64,158
4748,2,100,232
4748,2,89,181
4748,3,64,228
4748,3,86,270
4748,3,58,92
4748,3,83,77
4748,3,67,162
4748,4,77,194
4748,4,44,325
4748,4,68,190
4748,4,56,241
4748,4,56,99
4748,4,56,206
4748,4,54,95
4748,4,70,266
4748,4,60,85
4748,5,68,233
4748,5,66,184
4748,6,37,178
4748,6,70,146
4748,6,65,127
4748,6,57,278
4748,6,80,263
4748,6,76,209
4748,7,100,121
4748,7,66,60
4748,7,100,119
4748,7,89,60
4748,7,100,94
4748,8,71,221
4748,8,73,82
4748,8,59,68
4748,8,77,190
4748,9,74,242
4748,9,76,135
4748,9,87,198
4748,9,74,265
4748,9,68,221
4748,10,90,270
4748,10,83,212
2674,1,29,271
2674,1,100,253
2674,1,43,222
2674,1,69,96
2674,1,7,264
2674,1,64,323
2674,1,100,127
2674,1,67,256
2674,1,25,213
2674,2,40,293
2674,2,90,116
2674,2,75,244
2674,2,97,216
2674,2,51,140
2674,3,71,358
2674,3,46,149
2674,3,72,321
2674,3,30,125
2674,3,35,200
2674,3,71,402
2674,3,44,302
2674,3,31,343
2674,4,31,400
2674,4,73,256
2674,4,33,365
2674,4,38,370
2674,4,27,475
2674,4,55,280
2674,4,31,268
2674,5,8,260
